Project Description,Location,Contractor,Cost,Completion Date
"Construction of Flood Control Structure along Marikina River, Barangay Bagong Silangan, Quezon City",QUEZON CITY,DIADEMA CONSTRUCTION AND ENTERPRISES INC. (FORMERLY: DIADEMA ENTERPRISES) / AF3 CONSTRUCTION CORPORATION,95341600.18,3/11/2025
"Construction of Flood Control Structure along Cotcot River, Upstream, Liloan, Cebu",CEBU,"MC GEOMETRIC PROPORTIONS, INC. / ALPHA & OMEGA GEN. CONTRACTOR & DEVELOPMENT CORP.",149847604.36,3/10/2025
"Construction of Flood Control Structure, Barangay Natividad, Barotac Viejo, Iloilo",ILOILO,PANAY EAST COAST CONSTRUCTION & SUPPLY,44100000.0,3/10/2025
"Construction of Revetment along Bacoor River, Brgy. Molino IV (Duplex Homes), Bacoor City, Cavite",CAVITE,ALMAKAR BUILDERS & METAL WORKS,96499777.7,3/10/2025
"Construction of Revetment along Bacoor River, Phase II, Brgy. Habay I and Brgy. Panapaan IV, Bacoor City, Cavite",CAVITE,GRAIA CONSTRUCTION CORPORATION,96097340.67,3/10/2025
"Construction of Revetment along Carmona River (Upstream), Brgy. Milagrosa, Carmona, Cavite (Phase 1)",CAVITE,OMNICON BUILDERS,69298609.16,3/10/2025
"Construction of Flood Control Structure along Tago River, Brgy. Libas Gua, San Miguel, Surigao del Sur",SURIGAO DEL SUR,LCTING CONSTRUCTION AND DEVELOPMENT CORPORATION (FORMERLY: L.C. TING CONSTRUCTION),48999999.94,3/9/2025
"Construction of Flood Control Structure along Romelo River, Siniloan, Laguna",LAGUNA,POWER K CONSTRUCTION SUPPLY & SERVICES,96499568.47,3/7/2025
"Construction of Seawall Protection, Garcia-Hernandez, Bohol",BOHOL,"MOG CONSTRUCTION INC. / N.N. YU CONSTRUCTION, INC. (FORMERLY: YU CONSTRUCTION)",57877936.0,3/6/2025
"Construction of Flood Control Structure along Cagayan River, Barangays PISBAKAL, Angadanan, Isabela",ISABELA,INFINITI CONSTRUCTION AND DEVELOPMENT CORPORATION,77157107.5,3/6/2025
"Construction of Flood Control Structure along Mallig River, Brgy. Rang-Ayan Section, Mallig, Isabela",ISABELA,MAR-DEB CONSTRUCTION & DEVELOPMENT CORP. (FORMERLY: MAR-DEB CONSTRUCTION & DEVELOPMENT),49475272.59,3/6/2025
"Construction of Manaba River Control, Garcia-Hernandez (Tabuan Section), Bohol, Sta. 0+000.00 - Sta. 0+450.00",BOHOL,MUANA CONSTRUCTION AND DEVELOPMENT CORP. (FORMERLY,98944930.25,3/5/2025
"Construction of Revetment Wall (Pampanga Delta Development Project), Barangay Capalangan, Phase II, Apalit, Pampanga",PAMPANGA,EDDMARI CONSTRUCTION & TRADING,74883912.45,3/5/2025
"Construction of Pinto Flood Control, Sta. 32+000 - Sta. 33+550 (RS), Pinto, Alfonso Lista, Ifugao",IFUGAO,DJY CONSTRUCTION,96500000.0,3/5/2025
"Construction of Paniqui Drainage System, Paniqui, Tarlac",TARLAC,R.R. RICAFORT CONSTRUCTION AND SUPPLIES,144750000.0,3/4/2025
"Construction of Riverbank Protection (Phase I), Datu Piang, Maguindanao",MAGUINDANAO DEL SUR,ED1SON DEVELOPMENT & CONSTRUCTION INC. / H-ROYAL CONSTRUCTION,47283436.87,3/3/2025
"Rehabilitation of Bantayan Flood Control Structure, Bantayan River Basin, San Roque, Northern Samar",NORTHERN SAMAR,JCL CONSTRUCTION AND SUPPLY,48982964.54,3/3/2025
"Construction of Flood Control Structure, Brgy. Lucap, Alaminos City, Pangasinan (Package II)",PANGASINAN,ORIENTAL SALES CENTER AND CONTRACTOR / ALCEL CONSTRUCTION,96491365.52,3/3/2025
"Construction of Flood Mitigation Structure along Balingcaguing River (Bangan-Oda Section), Sta. 007+850 - Sta. 008+250, Barangay Bangan-Oda, Agno, Pangasinan",PANGASINAN,JONIK TRADING & CONSTRUCTION / ALCEL CONSTRUCTION,96500000.0,3/3/2025
"Improvement along Balanti Creek, Brgy. Concepcion Dos, Marikina City, Phase 1",MARIKINA CITY,"729 CONSTRUCTION, INC. (FORMERLY 722 CONSTRUCTION, INC.)",48001608.49,3/3/2025
"Construction of Flood Mitigation Structure, Calunasan Bridge Flood Control, Getafe, Bohol",BOHOL,LEDA CONSTRUCTION INCORPORATED,48403180.0,3/2/2025
