Project Description,Location,Contractor,Cost,Completion Date
"Construction of Road Dike Structure along Barangay Sua to Barangay Libod (Package 2), Barangay Sua, Camalig, Albay",ALBAY,NEXT GENERATION CONSTRUCTION AND SUPPLY CORPORATION,72316174.75,10/7/2023
"Construction/ Rehabilitation/ Improvement of Reinforced Concrete Box Culvert along Cavite-Batangas Rd - K0018 + (-137), Bacoor City, Cavite",CAVITE,ALMAKAR BUILDERS & METAL WORKS,29398828.55,10/7/2023
"Construction/ Rehabilitation/ Improvement of Reinforced Concrete Box Culvert along Cavite-Batangas Rd - K0018 + (-050), Bacoor City, Cavite",CAVITE,ALMAKAR BUILDERS & METAL WORKS,29399135.28,10/7/2023
"Construction of Flood Control Structure along Abra Major River Basin, Barangay Presentar-Aguet, Lagangilang, Abra",ABRA,MG SAMIDAN CONSTRUCTION,48248433.0,10/7/2023
"Construction of River Bank Protection along Ala River, Brgy. Ambalgan, Sto. Niño, South Cotabato",SOUTH COTABATO,BETTER WORK CONSTRUCTION,29399875.1,10/6/2023
"Construction of Concrete Revetment along Davao River, New Valencia Section, Sta. 0 + 000 - Sta. 0 + 500, Davao City",DAVAO DEL SUR,ALPHA & OMEGA GEN. CONTRACTOR & DEVELOPMENT CORP.,47576550.62,10/6/2023
"Construction of Concrete Revetment along Talomo River, Los Amigos Section, Sta. 0 + 000 - Sta. 0 + 500, Davao City",DAVAO DEL SUR,ALFREGO BUILDERS & SUPPLY,47647054.64,10/6/2023
"Rehabilitation of Drainage System, Camp Ruperto K. Kangleon, Palo, Leyte",LEYTE,Z.A.S. CONSTRUCTION AND SUPPLY (FORMERLY: Z.A.S. CONSTRUCTION),4885000.65,10/6/2023
"Construction of Banica River Control, Dumaguete City, Negros Oriental (Phase 1)",NEGROS ORIENTAL,UY CONDEV CORPORATION (FORMERLY:UY CONSTRUCTION &,29700000.0,10/6/2023
"Construction of Flood Control Structure along Jagobiao, Barangay Casili, Consolacion, Cebu",CEBU,"RUDHIL CONSTRUCTION & ENTERPRISES, INC.(FORMERLY R / XLA CONSTRUCTION",86789658.38,10/6/2023
"Rehabilitation of Swamp and Construction of River Flood Protection Structure at Brgys. Caloocan, Camcaman, Camachiles and Tablac, Matnog, Sorsogon",SORSOGON,CARMIG CONSTRUCTION & SUPPLY,11523308.3,10/6/2023
"Construction/ Rehabilitation of Flood Protection Measures along Hibago River Flood Mitigation Structure, Right Side, Upstream of Hibago Bridge, Brgy. Pinit, Ocampo, Camarines Sur",CAMARINES SUR,PHILWORKS CONSTRUCTION & SUPPLY,57194183.0,10/6/2023
"Construction of Slope Protection at Brgy. Munting Parang, Tagkawayan, Quezon",QUEZON,BOMEL CONSTRUCTION,9900000.0,10/6/2023
"Rehabilitation of Revetment along Cañas River, Brgy. Pinagtipunan, General Trias City, Cavite, Sta. 0+000 to Sta. 0+200.",CAVITE,M.S. RAMOS CONSTRUCTION INC. (FORMERLY: M.S. RAMOS,36537795.0,10/6/2023
"Construction of Flood Control Structure, Brgy. San Pablo, Cauayan City, Isabela",ISABELA,JWU CONSTRUCTION AND SUPPLY,74229724.81,10/6/2023
"Construction of Flood Control at Kabiggen, Sta. 180 + 690 - Sta. 180 + 850 (RS), Western Uma, Lubuagan, Kalinga",KALINGA,HKBT CONSTRUCTION,9794194.36,10/6/2023
"Construction of Flood Control, Brgy. Kangkong, Esperanza, Sultan Kudarat",SULTAN KUDARAT,CURVE-LINE CONSTRUCTION,4563124.44,10/5/2023
"Construction of Revetment along Digos River, Digos City, Davao del Sur",DAVAO DEL SUR,TKS BUILDERS & SUPPLIES,39200000.0,10/5/2023
"Construction/Improvement of Flood Control Structure along Butuanon River, Brgy. Alang-Alang, Mandaue City, Cebu",CEBU,ON POINT CONSTRUCTION AND DEVELOPMENT CORPORATION (FORMERLY:ON POINT CONSTRUCTION),39150000.0,10/5/2023
"Construction/Improvement of Flood Control Structure along Butuanon River (Phase VIII), Mandaue City, Cebu",CEBU,QUIRANTE CONSTRUCTION CORPORATION (FORMERLY: QUIRANTE CONSTRUCTION) / ZLREJ TRADING AND CONSTRUCTION CORPORATION,96400000.0,10/5/2023
"Construction of Binalbagan River Bank Slope Protection Downstream of Binalbagan (Bagacay) Bridge along Hinigaran-Isabela Road, Brgy. Aranda (Phase IV, Left Bank), Hinigaran, Negros Occidental",NEGROS OCCIDENTAL,LEGACY CONSTRUCTION CORPORATION (FORMERLY: LEGACY CONSTRUCTION),49500000.0,10/5/2023
"Construction of Dike along Bicol River, Barangay Baliuag Nuevo, Minalabac, Camarines Sur",CAMARINES SUR,BICOL GOLDROCK CONSTRUCTION CORPORATION,67550000.0,10/5/2023
"Construction of Flood Control Structure at Barangay Labac, Naic, Cavite",CAVITE,MORTAR MASTERS & CONCRETE BUILDERS,18997097.04,10/5/2023
"Construction of Reinforced Concrete Slope Protection along Quitangil Creek, Brgy. Mawaque, Mabalacat, Pampanga",PAMPANGA,M.C.J. VALENZUELA CONSTRUCTION ENTERPRISES,19769259.83,10/5/2023
"Construction of Riverbank and Slope Protection along Agno River, Brgy. San Rafael-San Felipe East, San Nicolas, Pangasinan",PANGASINAN,R.A. MATIAS CONSTRUCTION AND DEVELOPERS INC. (FORMERLY : R.A. MATIAS CONSTRUCTION AND DEVELOPERS) / ARCINUE COMM'L CORPORATION,67536444.52,10/5/2023
"Construction of Flood Control Structure traversing Manila North Road, Upstream & Downstream of Apatut Bridge, Ilocos Norte",ILOCOS NORTE,JLP CONSTRUCTION & SUPPLY (FORMERLY: JLP CONSTRUCT,9215046.51,10/5/2023
"Construction of Concrete Revetment, Lawa Flood Control, Don Marcelino, Davao Occidental",DAVAO OCCIDENTAL,YPR GEN. CONTRACTOR AND CONSTRUCTION SUPPLY INC.,77189414.06,10/4/2023
"Construction of Concrete Revetment (RC Cut-off Wall), Pongpong Flood Control, Sta. Maria, Davao Occidental",DAVAO OCCIDENTAL,GREAT PACIFIC BUILDERS AND GEN. CONTRACTOR INC.,77189371.31,10/4/2023
"Construction of Flood Control Structure, Barangay Poblacion, Lugait, Misamis Oriental",MISAMIS ORIENTAL,LIGHT CONSTRUCTION & SUPPLY,4950000.0,10/4/2023
"Construction of Flood Mitigation Structure, Matling River, Package 3, Malabang, Lanao del Sur",LANAO DEL SUR,M.M.A. ACHIEVER CONSTRUCTION & DEVELOPMENT CORP.,47043280.19,10/4/2023
"Construction of River Control, Brgy. Guinbaoyan Norte, Calbayog City, Samar",SAMAR (WESTERN SAMAR),ETAN CONSTRUCTION,28870816.03,10/4/2023
"Construction of Flood Control Structure of Himugaan River, Brgy. Minapasok, Calatrava, Negros Occidental",NEGROS OCCIDENTAL,KENNETH CONSTRUCTION AND GENERAL MERCHANDISE,38212514.85,10/4/2023
"Construction of Box Culvert in Brgy. Palahanan I, San Juan, Batangas",BATANGAS,JSAM CONSTRUCTION,4801978.98,10/4/2023
"Construction of Slope Protection along Barangay San Antonio, Floridablanca, Pampanga",PAMPANGA,ARROW CONSTRUCTION,48994727.99,10/4/2023
"Construction of Flood Control Structures along Rio Chico River, Brgy. Bacayao, Guimba, Nueva Ecija (Phase 2)",NUEVA ECIJA,R.D. TALENS CONSTRUCTION AND TRADING,9800528.41,10/4/2023
"Rehabilitation of San Juan River (Phase VII), Quezon City",QUEZON CITY,FRAMECON BUILDERS,28939587.28,10/4/2023
"Construction of Flood Control Project along Dangoan Br. 1 River (Downstream), Medina, Misamis Oriental",MISAMIS ORIENTAL,ROAD EDGE TRADING & DEVELOPMENT SERVICES,74250000.0,10/3/2023
"Construction of Flood Mitigation Structure along Bulod River, Package 2, Tubod, Lanao del Norte",LANAO DEL NORTE,KOUZBARY BUILDERS / LANAO BUILDER AND ENTERPRISES,139725176.58,10/3/2023
"Construction of Flood Control Structure, Barangay Sambulawan, Leyte, Leyte",LEYTE,RJIR ENTERPRISES CORPORATION,48264998.94,10/3/2023
"Construction of Pagtigaon River Control, Sta. Catalina, Negros Oriental",NEGROS ORIENTAL,H.L.J CONSTRUCTION & ENTERPRISES,44100000.0,10/3/2023
"Construction of Flood Mitigation Structure along Jordan River, Barangay Rizal, Jordan, Guimaras",GUIMARAS,ALPHA & OMEGA GEN. CONTRACTOR & DEVELOPMENT CORP.,48921423.56,10/3/2023
"Construction of Flood Mitigation Structure, Daet, Camarines Norte",CAMARINES NORTE,128 DRAGON CONSTRUCTION AND SUPPLIES,7674011.94,10/3/2023
"Construction of Flood Control Structure along Dapitan River, Leop Bridge (B00584MN) Barcelona Section, along Dipolog-Oroquieta Road (S01316MN), Dapitan City, Zamboanga del Norte",ZAMBOANGA DEL NORTE,LEGACY CONSTRUCTION CORPORATION (FORMERLY: LEGACY CONSTRUCTION),93823025.2,10/3/2023
"Construction of River Control Project along Angat River, Tibagan Section, Sta. 00+615 - Sta. 00+845, Bustos, Bulacan",BULACAN,"TRIPLE 8 CONSTRUCTION & SUPPLY, INC. (FORMERLY TRIPLE 8 CONST. & SUPPLY)",48992852.15,10/3/2023
"Construction of Flood Control Structure along Barangay Santa Monica, Hagonoy, Bulacan",BULACAN,"E.M. CUERPO, INC.",48999614.38,10/3/2023
"Construction of Flood Control Structure along Barangay Bagna, Malolos, Bulacan",BULACAN,TOPNOTCH CATALYST BUILDERS INC.,48999864.47,10/3/2023
"Construction of Flood Control Structure along Guiguinto River, Ilang-ilang Section, Ilang-ilang, Guiguinto, Bulacan",BULACAN,ROSSLANCE CONSTRUCTION AND DEVELOPMENT,19798773.41,10/3/2023
"Construction of San Fernando - Macate - Abinganan Flood Control along San Fernando River, Bambang, Nueva Vizcaya",NUEVA VIZCAYA,BRG CONSTRUCTION,49000000.0,10/3/2023
"Construction of Flood Control Project along Cagayan River Basin Brgy. Centro 9 to Brgy. Punta River Control, Aparri, Cagayan",CAGAYAN,E. GUADIZ CONSTRUCTION,19600000.0,10/3/2023
"Construction of Flood Control, Barangay 37-A, Casilian Proper, Bacarra, Ilocos Norte",ILOCOS NORTE,REMAR CONSTRUCTION,4899700.57,10/3/2023
"Construction of Revetment along Makati-Pateros River, Barangay Pembo, Makati City",MAKATI CITY,AARCON BUILDERS,39599226.64,10/3/2023
"Rehabilitation of Drainage System at Housing Bliss and Vicinity, Pasig City",PASIG CITY,DAHL CONSTRUCTION CORP. (FORMERLY: DAHL CONSTRUCTION),37224156.95,10/3/2023
"Construction of Box Culvert along Zenaida Subdivision, Barangay Concepcion Uno, Marikina City",MARIKINA CITY,YPR GEN. CONTRACTOR AND CONSTRUCTION SUPPLY INC.,35355762.73,10/3/2023
"Construction of Flood Control Mitigation Facilities along Binahaan River, Brgy. Binongtoan Section (Downstream), Sta. 0 + 00 to Sta. 0 + 465, Tanauan, Leyte",LEYTE,"SUNWEST, INC. (FORMERLY: SUNWEST CONSTRUCTION & DEVELOPMENT CORPORATION)",95712057.88,10/2/2023
"Construction of Flood Control Structure of Palampas River (Downstream) along Bacolod North Road, San Carlos City, Negros Occidental",NEGROS OCCIDENTAL,C'ZARLES CONSTRUCTION & SUPPLY,72374744.87,10/2/2023
"Construction of Flood Control/Slope Protection along Jalaur River, Dumangas, Iloilo",ILOILO,PESOM CONSTRUCTION SERVICES (FORMERLY: PESOM BUILDERS AND CONSTRUCTION SUPPLY),19490000.0,10/2/2023
"Construction of Flood Control System in Baragnay Cabalagnan, Nueva Valencia, Guimaras",GUIMARAS,ALPHA & OMEGA GEN. CONTRACTOR & DEVELOPMENT CORP.,57868773.82,10/2/2023
"Construction of Revetment along Balintawak Bridge, Lipa City, Batangas",BATANGAS,"THREE W BUILDERS, INC.",49000000.0,10/2/2023
"Construction (Completion) of Drainage System, Brgy. Lepute, San Jose, Batangas",BATANGAS,LUCKY EIGHTY-THREE CONSTRUCTION AND SUPPLY(FOR.VRP,3841200.0,10/2/2023
"Construction of Revetment along Lawaye River (Palahanan Section), San Juan, Batangas",BATANGAS,FIVE TRAVELLERS CONSTRUCTION INC.,39200000.0,10/2/2023
"Improvement/Rehabilitation of Drainage Brgy. Balibago, Angeles City , Pampanga",PAMPANGA,PRIME PAVE CONSTRUCTION AND ASPHALT CORPORATION,29397781.56,10/2/2023
"Construction of Flood Control System at Barangay Pagala, Baliuag, Bulacan (Sta. 02+900 to Sta. 03+160)",BULACAN,DARCY & ANNA BUILDERS & TRADING,77188797.98,10/2/2023
"Construction of Flood Control Structure and Rehabilitation of Waterways Along Guiginto River Brgy. Poblacion, Guiginto, Bulacan (PHASE II)",BULACAN,TOPNOTCH CATALYST BUILDERS INC.,19006075.94,10/2/2023
"Construction of Barangay Salay Flood Control Structure, Section 1, San Agustin, Isabela",ISABELA,V.B. MANUBAY CONSTRUCTION,96499591.31,10/2/2023
"Construction of Siffu River Flood Control Project (Sitio Pakak Section), Sta. 0+000 - Sta. 0+400, Barangay Nuesa, Roxas, Isabela,",ISABELA,"SIFFU ROCKS CONSTRUCTION / C.R. DOMINGO CONSTRUCTION AND POWER DEVELOPMENT, INC. (FOR. C.R. DOMINGO CONSTRUCTION, INC.)",48246100.19,10/2/2023
"Construction of Siffu River Flood Control Project (Quiling Section), Roxas, Isabela",ISABELA,DANYSONS CONSTRUCTION AND DEVELOPMENT CORPORATION (FORMERLY: DANYSONS CONSTRUCTION),72374776.2,10/2/2023
"Construction of Nangoluan Flood Control Structure along Sanchez Mira River, Sanchez Mira, Cagayan",CAGAYAN,TJMT CONSTRUCTION / RAMIKE CONSTRUCTION,49000000.0,10/2/2023
"Construction of Slope Protection Structure along NRJ Don Paulino - Bingag - Osmeña Road (KM 001+000 - K001+500) Phase 1, Dapa, Surigao del Norte",SURIGAO DEL NORTE,BOOMETRIX DEVELOPMENT CORP.,58899989.45,10/1/2023
"Construction of Drainage, Barangay Consolacion, Cagayan de Oro City, Misamis Oriental",MISAMIS ORIENTAL,JAMRAY BUILDERS AND ENTERPRISES,4825876.1,10/1/2023
"Construction of Flood Protection (Dike) along Brgy. Iluluan, Camalig, Albay",ALBAY,MUNTOPAR BUILDERS CORP.,48824307.51,10/1/2023
"Construction of Flood Control System along Bongalon-Pandan River, Daraga, Albay",ALBAY,"VERZONTAL INFRASTRUCTURE CORPORATION (FORMERLY: VERZONTAL BUILDERS, INC.)",48962384.09,10/1/2023
"Construction of River Bank Protection Works and Drainage System along Bascaran-Talahib River, Daraga, Albay",ALBAY,NEXT GENERATION CONSTRUCTION AND SUPPLY CORPORATION,48675979.44,10/1/2023
"Rehabilitation of Flood Control Structure, Barangay Maly, San Mateo, Rizal",RIZAL,22 PRIME CONSTRUCTION AND REALTY DEVELOPMENT INC.,4950000.0,10/1/2023
"Construction of Soot Flood Control Structure, La Paz, Abra",ABRA,739 BUILDERS,92109279.07,10/1/2023
"Construction of Flood Control Structure, Coribot, Barangay Mudeng, La Paz, Abra",ABRA,739 BUILDERS,94102968.15,10/1/2023
"Construction of Dike Revetment along Hubo River Basin Protecting Hubo Bridge Abutment ""A"" Upstream, Brgy. Buhisan, Sta. 0+000.00 - Sta. 0+305.098, San Agustin, Surigao del Sur",SURIGAO DEL SUR,CM TAN CONSTRUCTION,100347111.48,09/30/2023
"Construction of Flood Control Structure along National Road, Barangay 95 Caibaan, Tacloban City, Leyte",LEYTE,ZTATIK BUILDER INC.,9714254.25,09/30/2023
"Construction of Flood Mitigation Structure at Barangay Santo Rosario (Antequera) along river leading to Tubig Dako leading to Inambacan Cave and Spring, Sta. 000+000.00 - Sta. 001+000.00, Antequera, Bohol",BOHOL,BNYU DEVELOPMENT CORPORATION (FORMERLY:BNYU ENTERPRISES & CONSTRUCTION),48912420.75,09/30/2023
"Construction of Flood Control Structure, Brgy. San Isidro, Bulan, Sorsogon",SORSOGON,"WELEX CONSTRUCTION, INCORPORATED (FORMERLY WELEX C",102434887.61,09/30/2023
"Construction of River Bank Protection Works and Drainage System along Purok 3 Sitio Laom, Brgy. Padang (Upstream) Phase 2, Legazpi City, Albay",ALBAY,ALPHA RYDER CONSTRUCTION & SUPPLIES,48942124.8,09/30/2023
"Construction of Cagsawa Ruins Protection Dike, (Tributary ''D''), Daraga, Albay",ALBAY,NEXT GENERATION CONSTRUCTION AND SUPPLY CORPORATION,72373476.66,09/30/2023
"Construction of Brooke's Point Shore Protection and Causeway Development, District I, Palawan",PALAWAN,"MARCBILT CONSTRUCTION, INC.",45816740.98,09/30/2023
"Rehabilitation of Drainage at Barangay Parian, Calamba City, Laguna",LAGUNA,PASCAL CONSTRUCTION,12817753.43,09/30/2023
"Construction of Flood Control along Manga River, Bitnong Section, Dupax del Norte, Nueva Vizcaya",NUEVA VIZCAYA,BRG CONSTRUCTION,96472643.42,09/30/2023
"Construction of Box Culvert along Anonas St., Manila City",CITY OF MANILA,G.F. FABIAN CONSTRUCTION,44092161.16,09/30/2023
"Construction and Rehabilitation of Concrete Slope Protection along Quitangil Creek at Brgy La Paz, Magalang, Pampanga Phase 1",PAMPANGA,C.L. MORALES CONSTRUCTION AND TRADING,48938390.76,09/29/2023
"Construction of Flood Control Structure, Barangay Mudeng, La Paz, Abra",ABRA,MG SAMIDAN CONSTRUCTION / RM30 PSG CONSTRUCTION CORPORATION,95238758.44,09/29/2023
"Construction of Flood Control Structure along Ala River, Purok Santa Cecilla, Zone II, Barangay Poblacion, Santo Niño, South Cotabato",SOUTH COTABATO,BETTER WORK CONSTRUCTION / MEGALINE BUILDERS AND SUPPLY,45079806.32,09/28/2023
"Construction of Revetment along New Cebu River, President Roxas, North Cotabato",COTABATO (NORTH COTABATO),LLABAN CONSTRUCTION & SUPPLY (FORMERLY: LLABAN CON,29400000.0,09/28/2023
"Rehabilitation of Flood Mitigation Structure at Sapangdaku River, Barangay Ilihan, Toledo City, Cebu",CEBU,JJ &J CONSTRUCTION & GENERAL SUPPLY,19599992.8,09/28/2023
"Construction of Flood Control/Slope Protection along Suage River,Brgy. Damires, Janiuay, Iloilo",ILOILO,CONTE BUILDERS & CONSTRUCTION SUPPLY,29095198.81,09/28/2023
"Construction of Flood Mitigation Structure (Drainage) from Del Carmen to Sta. Isabel, Calabanga, Camarines Sur",CAMARINES SUR,MEGA-ANT BUILDERS AND CONSTRUCTION SUPPLIES,4897585.84,09/28/2023
"Construction of Revetment along Hagonoy River at Barangay San Roque, Hagonoy, Bulucan",BULACAN,GREAT PACIFIC BUILDERS AND GEN. CONTRACTOR INC.,72374651.62,09/28/2023
"Construction of Barangay Cabulay Flood Control Structure, Sta. 0+000 - Sta. 0+350, Santiago City, Isabela",ISABELA,NTL BUILDERS AND DEVELOPER,48997907.91,09/28/2023
"Construction of Flood Control Structure along Mitura River, Brgy.Sobol - Brgy. Toboy, Asingan, Pangasinan",PANGASINAN,A.C. SOLIVEN CONSTRUCTION & GENERAL MERCHANDISE,39113562.58,09/28/2023
"Construction of Rio Grande de Mindanao Flood Control Project (Macasendeg Section), Macasendeg, Midsayap, Cotabato",COTABATO (NORTH COTABATO),"GEMMA CONSTRUCTION SUPPLY, INC.(FORMERLY:GEMMA CON",57324045.23,09/27/2023
"Construction of Ylaya Flood Control (Upstream) (Phase II), Ylaya, Dumanjug, Cebu",CEBU,QM BUILDERS,87812030.33,09/27/2023
"Construction of Drainage Structure, Barangay San Miguel, Puerto Princesa City, Palawan",PALAWAN,SMMILEY BUILDERS AND TRADING,4900000.0,09/27/2023
"Rehabilitation of Eroded Pampanga River Bank along Sta. Catalina, San Luis, Pampanga",PAMPANGA,CEDAR CONSTRUCTION,14478626.94,09/27/2023
"Construction of Cagayan River Flood Control Project, Barangay Palattao, Naguilian, Isabela",ISABELA,RRC CO. INC. (FORMERLY: R R C CONSTRUCTION),44080822.0,09/27/2023
"Construction of Flood Control Structure at Barangay Pacuan, Malasiqui, Pangasinan",PANGASINAN,2-R CONSTRUCTION SUPPLY,13546760.75,09/27/2023
"Construction of Balili Flood Control, Sta. 39 + 550 - Sta. 39 + 830 (LS); Sta. 40 + 120 - Sta 40 + 270 (LS) along Chico River, Bontoc, Mountain Province",MOUNTAIN PROVINCE,CHAO-MING CONSTRUCTION SERVICES / E.T. LATAWAN CONSTRUCTION,39200000.0,09/27/2023
"Construction of Shoreline Protection of Ten Coastal Barangays, San Agustin, Surigao Del Sur",SURIGAO DEL SUR,LCTING CONSTRUCTION AND DEVELOPMENT CORPORATION (FORMERLY: L.C. TING CONSTRUCTION),96499747.18,09/26/2023
"Construction of Storm Surge Protection Structures at Sitio Lala-o, Barangay Montañeza, Malabuyoc, Cebu",CEBU,QM BUILDERS,96493351.85,09/26/2023
"Construction of Road Dike at Brgy. Ylaya - Brgy. Libo-o, Ronda, Cebu",CEBU,AR ADLAWAN CONSTRUCTION,96497299.22,09/26/2023
"Construction of Road Dike at Brgy. Libo-o - Brgy. Ylaya, Ronda, Cebu",CEBU,AR ADLAWAN CONSTRUCTION,96497197.73,09/26/2023
"Construction of Revetment Wall at Sitio Parale - Sitio Luwak, Brgy. Sorsogon - Brgy. Salmeron, Malabuyoc, Cebu",CEBU,QUIRANTE CONSTRUCTION CORPORATION (FORMERLY: QUIRANTE CONSTRUCTION),96305129.41,09/26/2023
"Construction of Flood Control Structure at Sitio Parale, Brgy. Sorsogon, Malabuyoc, Cebu",CEBU,QUIRANTE CONSTRUCTION CORPORATION (FORMERLY: QUIRANTE CONSTRUCTION),96015132.75,09/26/2023
"Construction of Pungtod Flood Control, Oslob, Cebu",CEBU,BT CONSTRUCTION AND GENERAL SERVICES,14700000.0,09/26/2023
"Construction of Drainage System, Roxas Avenue, Bacolod City, Negros Occidental",NEGROS OCCIDENTAL,ANCHORVILLE REALTY DEV'T CONSTRUCTION CORP.,11760000.0,09/26/2023
"Construction of Bonlao Flood Control Structure along Tablas Circumferential Road, Phase 2, Alcantara, Romblon",ROMBLON,ULTIMATE BUILDER'S & CONST. SUPPLY,48993745.79,09/26/2023
"Construction of River Protection Structure along Maulawin Waterways, Los Baños, Laguna",LAGUNA,N.D.M. SANCHEZ BUILDERS & DEVELOPMENT CORPORATION,48231583.13,09/26/2023
"Construction of Line Canal, Barangay San Antonio, Lubao, Pampanga",PAMPANGA,SUPREME BUILDERS CONSTRUCTION AND TRADING,4831150.28,09/26/2023
"Construction of Flood Mitigation Structure along Bayambang River, Sta. 000+500 - Sta. 001+013.1, R/S, Barangay Bayambang, Infanta, Pangasinan",PANGASINAN,CHIARA2300 INCORPORATED / EJR BUILDERS & CONSTRUCTION SUPPLY,77200000.0,09/26/2023
"Construction of Tunggol Protection Dike, Phase 3, Datu Montawal, Maguindanao",MAGUINDANAO DEL SUR,LLABAN CONSTRUCTION & SUPPLY (FORMERLY: LLABAN CON,74329125.0,09/25/2023
"Construction of Flood Control Structure along Mainit River, Brgy. San Francisco East, Alangalang, Leyte",LEYTE,C N E CONSTRUCTION / ONE MYRNA CONSTRUCTION AND SUPPLY,48925057.49,09/25/2023
"Construction of Storm Surge Protection Structures at Sitio Guilongsoran, Barangay Poblacion, Ginatilan, Cebu (Package 2)",CEBU,QM BUILDERS,96493919.26,09/25/2023
"Construction of River Control Structure at Barangay Tubod-Dugoan (Upstream), Dumanjug, Cebu",CEBU,QM BUILDERS,86847397.29,09/25/2023
"Construction of Flood Control Structure along Cansaga River,Barangay Garing, Consolacion, Cebu",CEBU,GTM BUILDERS & SUPPLY / ECBJ EASTCOAST CONSTRUCTION,48989000.0,09/25/2023
"Construction of Revetment with Floodwall including Improvement of Riverbank (with Esplanade) along Lupit River, Phase 3, Bacolod City",NEGROS OCCIDENTAL,SUPREME ABF CONST. & CONST. SUPPLY COMPANY INC.,31936464.9,09/25/2023
"Construction of Flood Control/Slope Protection along Alibunan River,Calinog, Iloilo",ILOILO,STRONGLANE BUILDERS AND TRADING CORPORATION (FORMERLY: STRONGLANE CONSTRUCTION & TRADING),24499986.89,09/25/2023
"Construction of Flood Control/Slope Protection along Ulian River in Dueñas, Iloilo",ILOILO,UBS UNITED BUILDERS AND SUPPLY INC.,24427996.21,09/25/2023
"Construction of Flood Control Concrete Revetment at Gaid River, Upstream Leftside, Barangay Gaid, Sta. 0+634.00 - Sta. 0+796.00, Dimasalang, Masbate",MASBATE,NEXT GENERATION CONSTRUCTION AND SUPPLY CORPORATION,38786902.99,09/25/2023
"Construction of Pinangapugan Flood Control, Sta. 0+146.00 - Sta. 0+286.00, Upstream Right Side, Barangay Quezon, Uson, Masbate",MASBATE,EJ CANTORIA CONSTRUCTION & SUPPLY,29786118.31,09/25/2023
"Construction of Bank Protection Structure along Pawili River, Brgy. Fabrica-Salvacion Section, Bula, Camarines Sur",CAMARINES SUR,HI-TONE CONSTRUCTION & DEVELOPMENT CORP. (FORMERLY,77086212.17,09/25/2023
"Construction of Flood Mitigation Structure, San Vicente, Camarines Norte",CAMARINES NORTE,128 DRAGON CONSTRUCTION AND SUPPLIES,6708694.75,09/25/2023
"Construction of Flood Control Structure, Villa Sta. Maria, Barangay Sta. Maria, Zamboanga City, Zamboanga del Sur",ZAMBOANGA DEL SUR,RME CONSTRUCTION AND ENTERPRISES,10884616.96,09/25/2023
"Construction of Flood Control Structure Along Puray River, Rodriguez, Rizal",RIZAL,ST. TIMOTHY CONSTRUCTION CORPORATION,40554378.68,09/25/2023
"Construction of Flood Control Structures Along Manggahan River, Brgy. Manggahan and Brgy. Burgos, Rodriguez, Rizal",RIZAL,TUCHAR CONSTRUCTION CORP. (FORMERLY:TUCHAR CONSTRU,41638341.17,09/25/2023
"Rehabilitation of Existing Dike along Rio Chico River (Lara Section, Right Bank), Package 1, La Paz, Tarlac (Sta. 0+819 to Sta. 1+313)",TARLAC,NORTHERN BUILDERS,96494393.08,09/25/2023
"Construction of Flood Control Structure Cambaog-Talampas Tributaries of Angat River, Bustos, Bulacan",BULACAN,"729 CONSTRUCTION, INC. (FORMERLY 722 CONSTRUCTION, INC.)",48999700.67,09/25/2023
"Construction of Flood Control along Colo River, Bamban Section Phase III-1C, Hermosa, Bataan",BATAAN,PASCAL CONSTRUCTION,29007996.56,09/25/2023
"Construction of Flood Mitigation Structure and Drainage System, Balitwak-San Isidro River Improvement Project, San Luis, Aurora",AURORA,R.D. TALENS CONSTRUCTION AND TRADING,48249356.62,09/25/2023
"Construction of Slope Protection (Phase I) at Barangay Dinalaoan, Calasiao, Pangasinan",PANGASINAN,BALLESTEROS CONSTRUCTION AND SUPPLY,9608748.04,09/25/2023
"Rehabilitation of Flood Control System, Barangay Salasa, Bugallon, Pangasinan",PANGASINAN,GEORAVIN CONSTRUCTION & SUPPLIES / ALCEL CONSTRUCTION,34649388.88,09/25/2023
"Construction of San Andres Flood Control Structure leading to Antiao River, Catbalogan City, Samar",SAMAR (WESTERN SAMAR),CDU CONSTRUCTION,57899899.57,09/24/2023
"Construction of Drainage Canal, Barangay 91 Abucay, Tacloban City, Leyte, Leyte",LEYTE,ADB DYNAMIC BUILDERS & SUPPLY,4916992.38,09/24/2023
"Construction of Flood Control Structure, Binayoyo (Downstream) Phase 3, Barangay Calawis, Antipolo City",RIZAL,BELL CONSTRUCTION,48999997.09,09/24/2023
"Construction of Flood Control Structure, Sitio Mainit(Phase 2), Barangay San Jose, Antipolo City",RIZAL,H FRANCISCO CONSTRUCTION AND SUPPLY,19599812.56,09/24/2023
"Construction of Siffu River Flood Control Project (Suerte Section), Phase II, Sta. 0+000 - Sta. 0+400, Barangay Suerte, Quirino, Isabela,",ISABELA,RRC CO. INC. (FORMERLY: R R C CONSTRUCTION),48248898.3,09/24/2023
"Construction of Slope Protection at the NHA-Pag-Asa Village, Barangay Centro 02, Santa Praxedes, Cagayan",CAGAYAN,OCP CONSTRUCTION,14542977.58,09/24/2023
"Construction of Carupian Flood Control, Sta. 74 + 155 - Sta. 74 + 646 (L.S.), Anonat, Paracelis, Mountain Province",MOUNTAIN PROVINCE,BALINTUGAN CONSTRUCTION,62725000.0,09/24/2023
